Title,Society,Area_marla,Price_clean,Price_per_marla,Price_per_marla_formatted,Bedrooms,Bathrooms,Date_Posted_clean
5 Marla Brand New House For Sale In Lake City Meadows Near DHA Phase 5 Good Location,Lake City Meadows,5.0,24000000.0,4800000.0,48.00 Lakh,3,4,2025-07-25
Prime Location 1 Kanal House For Sale In DHA Phase 5 Lahore By Haram Estate & Builders,DHA Phase 5,20.0,85000000.0,4250000.0,42.50 Lakh,5,6,2025-07-25
Prime Location 10 Marla House For Sale In DHA Phase 8 Lahore By Haram Estate & Builders,DHA Phase 8,10.0,44000000.0,4400000.0,44.00 Lakh,5,6,2025-07-25
"Prime Location 1 Kanal House For Sale In DHA Phase 4, Lahore By Haram Estate & Builders",DHA Phase 4,20.0,67500000.0,3375000.0,33.75 Lakh,5,6,2025-07-25
Prime Location 1 Kanal House For Sale In DHA Phase 3 Lahore By Haram Estate & Builders,DHA Phase 3,20.0,70000000.0,3500000.0,35.00 Lakh,5,5,2025-07-25
Prime Location 1 Kanal House For Sale In DHA Phase 7 Lahore By Haram Estate &Amp;Amp; Builders,DHA Phase 7,20.0,70000000.0,3500000.0,35.00 Lakh,5,6,2025-07-25
"Prime Location 1 Kanal House for Sale in L Block, DHA Phase 6, Lahore by Haram Estate & Builders",DHA Phase 6 - Block L,20.0,79000000.0,3950000.0,39.50 Lakh,5,6,2025-07-25
5 Marla House Available For Sale Ln DHA 9 Town,DHA 9 Town,5.0,19500000.0,3900000.0,39.00 Lakh,3,5,2025-07-25
GORGEOUS BRAND NEW 5 MARLA HOUSE FOR SALE IN DHA 9 TOWN LAHORE.,DHA 9 Town,5.0,18500000.0,3700000.0,37.00 Lakh,4,5,2025-07-25
2 Kanal Spanish Design Well Maintained Fully Renovated Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid &Amp; Commercial Market.,DHA Phase 2 - Block R,40.0,130000000.0,3250000.0,32.50 Lakh,6,7,2025-07-25
8 MARLA HOUSE FOR SALE IN MILITARY ACCOUNTS COLLEGE ROAD.,Military Accounts Housing Society,8.0,25000000.0,3125000.0,31.25 Lakh,6,6,2025-07-25
5 MARLA DOUBLE STORY HOUSE FOR SALE IN EDEN BOULEVARD COLLEGE ROAD LAHORE.,Eden Boulevard Housing Scheme,5.0,18000000.0,3600000.0,36.00 Lakh,4,4,2025-07-25
10 MARLA BRAND NEW LUXERY HOUSE FOR SALE IN IQBAL BLOCK BAHRIA TOWN LAHORE,Bahria Town - Block DD,10.0,30000000.0,3000000.0,30.00 Lakh,5,7,2025-07-27
5 Marla Luxery Brand New House For Sale In AA Block Bahria Town Lahore,Bahria Town - Block AA,5.0,19500000.0,3900000.0,39.00 Lakh,3,5,2025-07-25
Get In Touch Now To Buy A Back of Main 1 Kanal House In Lahore,DHA Phase 3 - Block Z,20.0,75000000.0,3750000.0,37.50 Lakh,5,6,2025-07-25
Prime Location Fort Villas House For sale Sized 785 Square Feet,Fort Villas,3.5,19000000.0,5428571.428571428,54.29 Lakh,3,3,2025-07-25
Luxurious Beautiful 5 Marla House Is For Sale,Bahria Orchard Phase 1 - Eastern,5.0,18500000.0,3700000.0,37.00 Lakh,3,4,2025-07-25
FACING PARK 5 MARLA OWNER CONSTRUCTED HOUSE AVAILABLE FOR SALE,Bahria Orchard,5.0,12500000.0,2500000.0,25.00 Lakh,3,5,2025-07-25
10 MARLA BRAND NEW HOUSE TOP LOCTION NEAR TO PARK NEAR TO DEFANCE RAYA,DHA Phase 6,10.0,47500000.0,4750000.0,47.50 Lakh,4,5,2025-07-25
"Luxury 1 Kanal House for Sale in DHA Phase 5, Lahore by Haram Estate & Builders",DHA Phase 5,20.0,82500000.0,4125000.0,41.25 Lakh,5,6,2025-07-25
"Brand New 1 Kanal House For Sale In DHA Phase 6, Lahore By Haram Estate &Amp; Builders",DHA Phase 6,20.0,79900000.0,3995000.0,39.95 Lakh,5,6,2025-07-25
2.5 Marla Double Storey House For Sale,Lalpul,2.5,8500000.0,3400000.0,34.00 Lakh,3,3,2025-07-25
"Beautiful 5 Marla Double Story House With Car Porch For Sale In Tulip Overseas Block, Park View City Lahore",Park View City - Tulip Overseas,5.0,20500000.0,4100000.0,41.00 Lakh,4,4,2025-07-25
Dubai Real Estate Offer 1.5 Marla Double Story House For Sale In Mian Colony Near Lalpul Near Canal Road water elec Gas,Lalpul,1.5,6000000.0,4000000.0,40.00 Lakh,2,2,2025-07-25
Brand New House For Sale In Crystal Block (owner Meeting Possible),Park View City,5.0,18500000.0,3700000.0,37.00 Lakh,4,4,2025-07-25
5 Marla LDA Approved House (2 Meter + Gas Instilled),Park View City,5.0,22000000.0,4400000.0,44.00 Lakh,4,4,2025-07-25
ACTUALLY 22 MARLA CORNER FULL BASEMENT THEATRE POOL HOUSE FOR SALE,DHA Phase 6 - Block C,20.0,110000000.0,5500000.0,55.00 Lakh,6,7,2025-07-27
1 KANAL MODERN DESIGNER BUNGALOW NEAR  DEFENCE RAYA  FOR SALE,DHA Phase 6 - Block N,20.0,110500000.0,5525000.0,55.25 Lakh,5,6,2025-07-27
01 KANAL BRAND NEW SPLENDID LUXURY HOUSE AVAILABLE FOR SALE,DHA Phase 6,20.0,110000000.0,5500000.0,55.00 Lakh,5,6,2025-07-27
12 Marla CORNER House In Johar Town Phase 2 Is Available For Sale,Johar Town Phase 2,12.0,40000000.0,3333333.3333333335,33.33 Lakh,3,3,2025-07-25
5 Marla Full House For Sale In Divine Garden Bhatta Chownk Opp DHA,Divine Gardens,5.0,24000000.0,4800000.0,48.00 Lakh,5,6,2025-07-25
5 Marla Stylish Double Story House For Sale In Phase 1 Dream Garden,Dream Gardens Phase 1,5.0,25500000.0,5100000.0,51.00 Lakh,4,5,2025-07-25
5 Marla 4 Bedroom Modern Design House For Sale In Phase 1 Dream Garden,Dream Gardens,5.0,25000000.0,5000000.0,50.00 Lakh,4,5,2025-07-25
5 Marla Double Story Elegant House For Sale In Dream Garden,Dream Gardens,5.0,25000000.0,5000000.0,50.00 Lakh,4,5,2025-07-25
Luxurious 1 Kanal House for Sale Your Dream Home Awaits!,DHA Phase 7,20.0,81000000.0,4050000.0,40.50 Lakh,5,6,2025-07-25
B Block 5 Marla Beautiful House For Sale,Central Park Housing Scheme,5.0,19500000.0,3900000.0,39.00 Lakh,4,4,2025-07-25
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,Park View City,5.0,14500000.0,2900000.0,29.00 Lakh,4,5,2025-07-25
5 Marla Beautifully designed house For Sale And Direct Meeting With Owner In Park View City Lahore.,Park View City,5.0,19000000.0,3800000.0,38.00 Lakh,4,4,2025-07-27
3 Years Installment Plan Luxury Brand New House In Park View City Lahore,Park View City,5.0,14500000.0,2900000.0,29.00 Lakh,4,5,2025-07-27
2.5 Marla Double Story House For Sale In Elite Town Ferozpur Road Lahore On 60 Foot Double Road 3 Beds,Elite Town,2.5,6000000.0,2400000.0,24.00 Lakh,3,2,2025-07-25
DHA RAHBAR 10 MARLA MODREN STYLE MOST BEAUTIFUL HOUSE AVAILABLE FOR SALE,DHA 11 Rahbar Phase 1 - Block E,10.0,46500000.0,4650000.0,46.50 Lakh,5,6,2025-07-25
Master Peace of Art Design Brand New Modern Design Bungalow Available For Sale,DHA Phase 6,20.0,86500000.0,4325000.0,43.25 Lakh,5,6,2025-07-25
5 Marla House Available For Sale Pak Arab Phase 1,Pak Arab Housing Society Phase 1,5.0,19000000.0,3800000.0,38.00 Lakh,3,4,2025-07-25
5 Marla Luxury Designer Modern Brand New House 4 Bed For Sale,Bahria Town - Tipu Sultan Block Extension,5.0,21000000.0,4200000.0,42.00 Lakh,4,5,2025-07-25
FULL BASEMENT 10 MARAL MODERN HOUSE FOR SALE IN DHA PHASE 4 NEAR TO COMMERCIAL,DHA Phase 4,10.0,62500000.0,6250000.0,62.50 Lakh,5,6,2025-07-25
10 MARLA MODERN HOUSE FOR SALE ON HOT LOCATION,DHA Phase 2,10.0,45000000.0,4500000.0,45.00 Lakh,4,5,2025-07-25
14 Marla House Of Paf Falcon Complex Near Kalma Chowk And Gulberg Iii Lahore Available For Sale,PAF Falcon Complex,14.0,87500000.0,6250000.0,62.50 Lakh,4,5,2025-07-25
Ideal Location Next To Corner 1 Kanal Well Maintained House For Sale In DHA Phase 1 Lahore,DHA Phase 1 - Block P,20.0,55000000.0,2750000.0,27.50 Lakh,5,6,2025-07-25
14 Marla Renovated House Available For Sale In PAF Falcon Complex Gulberg 3 Lahore,PAF Falcon Complex,14.0,95000000.0,6785714.285714285,67.86 Lakh,4,4,2025-07-25
14 Marla Good Located House Available For Sale In PAF Falcon Complex Gulberg III Lahore,PAF Falcon Complex,14.0,80000000.0,5714285.714285715,57.14 Lakh,4,5,2025-07-25
14 Marla Fully Renovated And Good Located House Available For Sale In PAF Falcon Complex Gulberg III Lahore,PAF Falcon Complex,14.0,97500000.0,6964285.714285715,69.64 Lakh,4,5,2025-07-25
